 170  2     Mastergradsavhandlinger ved institutt for fremmedspråk [3973626575651653614, navigationpage]
 171  3       PHD-kandidater i 2013 [9137244263645956183, article, DUPLICATE #119]
 172  3       Mastergradsavhandlinger 2007 [5647412383062212732, article]
 173  3       Mastergradsavhandlinger 2008 [1101557771298833169, article]
 174  3       Mastergradsavhandlinger 2009 [1970964243243186076, article]
 175  3       Mastergradsavhandlinger 2010 [6044433969161894007, article]
 176  3       Mastergradsavhandlinger 2011 [111406622553192916, article]
 177  1   Ressurser [2332832428450146827, navigationpage]
 178  2     Bibliotek for samfunnsvitenskap og humaniora [1243165932600519735, enhet ub/svh]
 179  2     ### 6936778447290660224 does not exist!
 180  2     ### 6812346113670878732 does not exist!
 181  2     ### 7779727519766305498 does not exist!
 182  2     Kompetansekatalog vitenskapelig ansatte [2514307488238019783, navigationpage]
 183  3       Arabisk [7850018794072859448, article]
 184  3       Engelsk [7850018794072859457, article]
 185  3       Fransk [7850018794072859465, article]
 186  3       Italiensk [1946652871871347944, article]
 187  3       Japansk [1946652871871347953, article]
 188  3       Russisk [1946652871871347959, article]
 189  3       Spansk språk og Latinamerikastudium [1946652871871347968, article]
 190  3       Tysk [1946652871871347974, article]
 191  1   Om instituttet [2332832428450146848, navigationpage]
 192  2     Om IF [7338798546229919574, article]
 193  2     IF-nytt [3802669820225266275, navigationpage]
 194  3       IF-nytt 2012 [7064620383758300306, article]
 195  3       IF-nytt 2011 [1573043178902451477, article]
 196  3       IF-nytt 2010 [6175663640924755620, article]
 197  3       IF-nytt 2009 [5987474221004578170, article]
 198  3       IF-nytt 2008 [5085169500679420500, article]
 199  2     Strategiplan for Institutt for framandspråk 2012 - 2015 [5983635532404319644, article]
 200  2     Råd og utval [2553678552379890069, navigationpage]
 201  3       Møteplan våren 2013 [7228748719711483088, article]
 202  3       Instituttrådet [7016758052954644225, navigationpage]
 203  4         Retningsliner for rådet ved institutt for framandspråk [6218110052362516267, article]
 204  4         Medlemar [7016758052954644230, article]
 205  4         Innkallingar og sakspapir for instituttrådet [2997256280186690592, article]
 206  4         Referat frå instituttrådet [2997256280186690574, article]
 207  3       Utvalet for undervising og internasjonalisering [7016758052954644245, navigationpage]
 208  4         Retningsliner for undervisnings- og internasjonaliseringsutvalet [784426394263007643, article]
 209  4         Medlemar [5017775837451561307, article]
 210  4         Innkallingar og sakspapir for UUI [3380975418904965500, article]
 211  4         Referat frå UUI [3380975418904965495, article]
 212  3       Forskings og forskarutdanningsutvalet [3262277405537884463, navigationpage]
 213  4         Retningsliner for Forsknings- og forskarutdanningsutvalet [784426394263007652, article]
 214  4         Medlemar i Forskings- og forskerutdanningsutvalet [5684984416612604695, article]
 215  4         Referater Forsknings- og forskerutdanningsutvalget [8765064372954747195, article]
 216  4         Innkallingar og sakspapir for Forskings- og forskarutdanningsutvalet [2991585730549875065, article]
 217  4         Referat frå Forskingsutvalet (til 31.12.2011) [3380975418904965486, article]
 218  4         Ny infoside  [8025037267523875654, article]
 219  3       Programstyre [245118704631682411, navigationpage]
 220  4         Retningsliner og mandat for programstyra ved IF [5000745181533023327, article]
 221  4         Medlemar hausten 2012/våren 2013 [6215437317329618266, article]
 222  4         Innkallingar og sakspapir [4845635182468518240, navigationpage]
 223  5           Arabisk [1517601085406283215, article]
 224  5           Engelsk [5663079114678320364, article]
 225  5           Fransk [7168460734582707081, article]
 226  5           Italiensk [682701433615373963, article]
 227  5           Japansk [682701433615373969, article]
 228  5           Russisk [3376105778985654758, article]
 229  5           Spansk språk og latinamerikastudium [3376105778985654767, article]
 230  5           Språk og interkulturell kommunikasjon (SPIK) [3376105778985654772, article]
