   1  0 Institutt for filosofi og førstesemesterstudier [3899846132506878747, institutt]
 245  4         Eksterne kilder for finansiering [4998383922478520412, navigationpage]
 246  4         <Navigationpage uten navn> [8096915613377911156, navigationpage, PRIVATE]
 247  3       HMS [4978200614685973516, article]
 248  1   Kontakt [2222408865105943064, navigationpage]
 249  2     Ansattkatalog [8917329216099663884, displaylisting imported]
 250  2     Kontakt oss [6313727021014111821, navigationpage]
 251  3       Ledelsen [8017127233560723857, article]
 252  3       Administrativ stab [1677992702388554471, navigationpage]
 253  3       Vitenskapelig stab [6690214407048528961, navigationpage]
 254  4         Vitenskapelig ansatt ved fagstudiene [1789042268930736398, navigationpage]
 255  4         Vitenskapelig tilsatte og lektorer ved eksamen philosophicum [1789042268930736383, navigationpage]
 256  4         Andre ansatte ved førstersemesterstudiene [7144673262321470508, navigationpage]
 257  4         Emeriti [1789042268930736414, navigationpage]
 258  3       Faglige koordinatorer for førstesemesterstudier [1677992702388554477, navigationpage]
 259  4         Birger Solheim [3390568235088482604, article, DUPLICATE #178]

Counter({'navigationpage': 139, 'article': 102, 'Studieprogramlister': 4, 'institutt': 3, 'enhet': 2, 'displaylisting': 1, 'personliste': 1})
max depth 6
